Name,Quantity,Single Unit Price,Total Price,URL/LCSC,FALSE,Vendor (LCSC unless otheriwse indicated)
Electronics,,,,,FALSE,
47pF,1,N/A,$0.29,C105622,FALSE,
0.1uF,1,N/A,,,FALSE,With My other two projects
22uF,2,N/A,$0.17,C59461,FALSE,
4.7uF,2,N/A,$0.15,C69335,FALSE,
Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,N/A,$0.40,C5447965,FALSE,
Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical,1,N/A,$0.39,C30169,FALSE,
PinHeader_2x04_P2.54mm_Vertical,1,N/A,$0.39,C2829882,FALSE,
PinHeader_1x04_P2.54mm_Vertical,7,N/A,$0.42,C2935910,FALSE,
Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,4,N/A,$0.71,C29275,FALSE,
6.8UH,1,N/A,$1.18,C5296375,FALSE,
BC847,3,N/A,$0.46,C57668,FALSE,
220k,1,N/A,$0.10,C22961,FALSE,
41.2k,1,N/A,$0.10,C2930101,FALSE,
93.1k,1,N/A,$0.10,C2933266,FALSE,
22k,1,N/A,$0.09,C2907015,FALSE,
10k,6,N/A,,,FALSE,With My other two projects
AP63357,1,N/A,$0.52,C2158014,FALSE,
74HC244,2,N/A,$0.77,C5623,FALSE,
RP2350_Stamp,1,N/A,$12.05,https://lectronz.com/products/rp2350-stamp,FALSE,
TXS0108EPW,2,N/A,$1.12,C17206,FALSE,
MOLEX 22013037,4,,$0.27,C22451182,FALSE,
Molex 2759 seris,12,,$0.24,C22451180,FALSE,
PCB - JLC,,,$9.00,,,
LCSC - Shipping and handling,,,$17.16,,,
lectronz,,,$17.79,,,
JLC - Shipping,,,$8.23,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,CAD,,
,,,$72.10,USD,,
,,,$72.10,Total - USD,,
